LCOV;1 AngDRC;2 Argentina;3 Bolivia;4 Brasil;5 Colombia;6 Ghana;7 IvoryCoast;8 Indonesia;9 Madagascar;10 Malasya;11 Mozambique;12 Myanmar;13 Nigeria;14 Paraguay;15 Peru;16 Uruguay;17 Venezuela;18 NewZealand;19 Oceania;20 China;21 Japan;22 Korea;23 India;24 EastAsia;25 SEAsia;26 SouthAsia;27 US;28 Canada;29 Mexico;30 LatinAmer;31 EU27;32 UK;33 Russia;34 EFTA;35 MENA;36 SSA;37 RestofWorld;Total;
1 New18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2 New17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353.762;0;0;0;0;0;0;0;353.762;
3 New16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.785;0;0;0;0;0;0;0;0;196.516;124.420;0;1348.624;63.501;719.804;0;581.330;0;0;33.082;3083.062;
4 New15;0;143.855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12105.036;103.843;0;0;1161.796;0;0;25180.973;27361.875;0;655.223;36191.871;240.395;99597.078;11756.623;2.154;0;136.938;214637.660;
5 New14;0;151.352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152.922;0;0;24056.004;19012.641;0;1120.142;7219.740;0;116465.063;8540.472;13.029;0;402.053;177133.417;
6 New13;0;117.145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61.550;0;0;0;0;0;0;1427.412;75.315;0;68.061;0;0;2816.803;0;0;0;21.815;4588.101;
7 New12;0;2685.074;48.931;7305.830;940.838;0;0;0;0;0;0;951.286;0;115.512;472.078;0;0;1783.790;300.267;42443.723;2607.749;0;831.140;0;1727.501;0;48796.688;0;105.665;2149.052;3510.985;55.812;0;0;0;0;524.302;117356.219;
8 New11;0;0;127.212;0;26.913;0;0;0;0;0;0;7173.096;0;0;697.812;0;0;759.260;562.286;24453.799;5699.762;4475.172;1188.421;129.987;336.215;21.054;38708.914;364.286;549.575;1427.837;15349.080;680.560;137.256;0;944.070;1453.322;1654.402;106920.291;
9 New10;1432.465;3432.670;332.241;0;0;0;0;0;0;0;0;0;0;0;288.637;0;0;0;350.187;18224.201;6639.522;2592.073;579.942;6583.914;3.276;3015.300;50827.488;19817.248;4310.880;1343.959;62099.207;1280.157;7429.430;1860.332;2721.210;1539.462;23028.090;219731.893;
10 New9;1197.068;2607.323;476.449;0;0;0;0;0;0;0;0;0;0;0;321.554;0;0;0;32.618;13214.545;412.483;0;1072.357;1198.706;0;2.120;8723.343;29766.842;5787.539;959.172;10156.563;0;20930.346;0;6959.201;495.248;4342.505;108655.983;
11 New8;0;1333.730;0;0;0;0;0;0;0;0;0;0;0;0;819.822;0;0;0;0;51.895;0;0;231.970;0;0;1.697;15410.510;3313.286;1171.314;460.779;0;0;1719.129;0;3372.072;24.848;10.367;27921.421;
12 New7;0;133.757;0;0;0;0;0;0;0;0;0;0;0;0;41.231;0;0;0;0;18.160;0;0;0;0;0;0;2148.972;0;476.214;150.945;0;0;0;0;14.433;0;0;2983.712;
13 New6;36413.246;0;2025.288;101574.883;12002.603;2448.539;4526.202;31668.551;6087.544;7921.593;0;0;438.919;243.468;14584.577;0;2917.957;0;0.316;507.339;0;0;0;237.972;12812.267;788.947;0;0;1138.978;24465.725;0;0;0;0;0;26882.311;0;289687.224;
14 New5;19782.992;0;4917.865;38639.535;398.055;1370.106;2011.312;1379.402;370.822;0;1053.532;15200.266;3173.989;0;835.258;0;1703.777;0;60.624;2330.528;0;0;1309.603;0;23435.631;2250.318;0;0;3275.403;7073.608;0;0;0;0;0;13545.250;0;144117.877;
15 New4;12980.716;0;4721.130;6190.672;42.383;25.765;205.877;461.061;202.838;0;1811.863;12242.568;983.734;0;733.438;0;284.567;0;28.964;0;0;0;6654.360;0;10481.768;1316.249;0;0;7545.561;1900.241;0;0;0;0;0;12691.312;0;81505.066;
16 New3;2333.269;0;1730.284;0;0;0;0;0;0;0;515.760;0;0;0;220.949;0;0;0;0;0;0;0;4485.531;0;0;0;0;0;7423.102;134.008;0;0;0;0;0;3346.288;0;20189.191;
17 New2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132.925;0;17.563;0;0;0;0;0;627.989;0;0;0;0;0;321.772;63.283;0;0;0;0;0;139.744;0;1303.277;
18 New1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.251;
Total;74139.756;10604.907;14379.401;153710.919;13410.791;3844.410;6743.391;33509.014;6661.204;7921.593;3381.155;35567.216;4596.641;358.980;19181.534;0;4923.864;2558.835;1335.262;113410.776;15463.359;7067.245;16981.314;9465.297;48796.657;7395.687;215476.820;99835.913;32106.003;43674.421;134590.947;2976.727;249095.105;22738.756;14026.169;60117.784;30153.552;1520201.407;
